id,name,definition_line,reference_lines
14534,CG_TASK_RANDOM_INFO,22424,22424;72539;150368
14535,CG_TASK_ESCORT_NEW_LIST,22382,20249;22382
14536,CG_TASK_ARENA_JOIN_NEW,22395,22395;64195
14537,CG_TASK_ARENA_ACTOR_LIST,22396,22396;64226
14538,CG_TASK_ARENA_PK,22397,22397;64415
14539,CG_TASK_ARENA_SEE_RANDOM,22398,22398;64448
14540,CG_TASK_ARENA_START,22399,22399;184208
14541,CG_TASK_COUNTRY_BOSS_JOIN,22400,22400;98116;176148
14542,CG_TASK_COUNTRY_BOSS_UPDATE,22401,20618;22401
14543,CG_TASK_COUNTRY_BOSS_FIGHT,22402,20638;22402;31764;31804
14544,CG_TASK_COUNTRY_BOSS_EXIT,22403,20626;22403;31803
14545,CG_TASK_COUNTRY_BOSS_END,22404,22404
14546,CG_TASK_COUNTRY_BOSS_LEAVE_GRID,22405,20642;22405;31805
14547,CG_TASK_COUNTRY_BOSS_JOIN_PUSH,22406,22406;173590
14548,CG_TASK_COUNTRY_BOSS_GET_SCORE,22407,22407
14549,CG_TASK_COUNTRY_BOSS_ACTIVATE,22408,22408;98403;176116
14550,CG_TASK_COUNTRY_BOSS_ACTIVATE_DATA,22409,22409;98396;176091
14551,CG_TASK_VITALITY_FIRST_OPEN,22410,22410;150383;150665
14553,CG_TASK_VITALITY_SHOW_REWARD,22411,22411;150388;150614
14554,CG_TASK_VITALITY_GET_REWARD,22412,22412;150559;150562
14555,CG_TASK_VITALITY_REMIND,22413,22413;150393
14556,CG_TASK_MILESTONE_OPEN,22415,22415
14557,CG_TASK_MILESTONE_SHOW_TYPE,22416,22416
14558,CG_TASK_MILESTONE_GET_PART,22417,22417
14559,CG_TASK_MILESTONE_GET_REWARD,22418,22418
14560,CG_TASK_MILESTONE_ON,22419,22419
14561,CG_TASK_MILESTONE_AB,22420,22420
14562,CG_TASK_VITALITY_FIRST_PUSH,22414,22414;150398
14563,CG_ACHIEVEMENT_GAINREWARD_PUSH,22009,22009;170624
14564,CG_TITLE_USE_CHANGE,22513,22513;169511
14565,CG_BATTLESPACE_APPLY,22548,22548
14566,CG_BATTLESPACE_SET_IN,22549,22549
14567,CG_FIGHT_EXIT_BATTLE,22550,22550
14568,CG_BATTLESPACE_TOWER_DEFENCE,22551,22551
14569,CG_BATTLESPACE_TOWER_ASSAULT,22552,22552
14570,CG_BATTLESPACE_TEAM_LOOK,22553,22553
14571,CG_BATTLESPACE_ESCORT_DATA,22554,22554
14572,CG_BATTLESPACE_NOTICE,22555,22555
14573,CG_BATTLESPACE_DEFENCE_LIST,22556,22556
14574,CG_BATTLESPACE_ASSAULT_LIST,22557,22557
14575,CG_BATTLESPACE_OVER_DATA,22558,22558
14576,CG_BATTLESPACE_TOWER_EXET,22559,22559
14577,CG_BATTLESPACE_OVER_DATA_INITIATIVE,22560,22560
14578,CG_BATTLESPACE_FORT_IN,22567,22567
14579,CG_BATTLESPACE_TOWER_LOSER,22568,22568
14580,CG_BATTLESPACE_TOWER_POINT_DATA,22569,22569
14581,CG_BATTLESPACE_FORT_OUT,22570,22570
14582,CG_BATTLESPACE_TOWER_DATE,22561,22561
14583,CG_BATTLESPACE_TOWER_TEAM_REPLACE,22562,22562
14584,CG_BATTLESPACE_ENTRY,22563,22563
14586,CG_BATTLESPACE_FORT_DURABILITY,22564,22564
14587,CG_BATTLESPACE_TEAM_REPLACE,22571,22571
14589,CG_BATTLESPACE_RANKLIST,22565,22565
14590,CG_BATTLESPACE_RONGYUDIAN,22566,22566
15001,CG_COUNTRY_CREATE,22425,20319;22425;31729
15002,CG_COUNTRY_CHECK,22426,20337;22426;31730
15003,CG_COUNTRY_ACTIVATE,22427,20315;22427;31731
15004,CG_COUNTRY_LIST,22428,20327;22428
15005,CG_COUNTRY_RECRUIT_OPEN,22429,21663;22429;31732
15006,CG_COUNTRY_RECRUIT_CLOSE,22430,21661;22430;31733
15007,CG_COUNTRY_SET_TAX,22431,20614;22431;31734
15008,CG_COUNTRY_SET_ENTRYTAX,22432,20630;22432;31735
15009,CG_COUNTRY_ENTER,22433,20323;22433;173609
15010,CG_COUNTRY_INVITE,22434,20634;22434;141012
15011,CG_COUNTRY_APPLY,22435,20311;22435
15012,CG_COUNTRY_APPLY_LIST,22436,20583;22436
15013,CG_COUNTRY_APPLY_HANDLE,22437,20666;22437;31736
15014,CG_COUNTRY_PEOPLE_REMOVE,22438,20682;22438;31737
15015,CG_COUNTRY_PEOPLE_LEAVE,22439,20562;22439;31738
15016,CG_COUNTRY_PEOPLE_LIST,22440,20572;22440
15017,CG_COUNTRY_MAP_CHANGE,22441,22441
15018,CG_COUNTRY_APOINT_PEOPLE,22442,20674;22442;31834
15019,CG_COUNTRY_KING_TRANSFER,22443,20678;22443;31759;31835
15020,CG_COUNTRY_BUILDING_UPGRADE,22444,20587;22444;31740
15021,CG_COUNTRY_BUILDING_REMOVE,22445,20591;22445;31741
15022,CG_COUNTRY_COMMAND_EXCUTE,22446,20658;20662;22446
15023,CG_COUNTRY_PEOPLE_DONATE,22447,20558;22447;31844
15024,CG_COUNTRY_DONATE_ITEM,22448,20349;22448;31754;31830
15025,CG_COUNTRY_DELETE_STORAGE_ITEM,22449,20353;22449;31756;31831
15026,CG_COUNTRY_GET_STORAGE_ITEM,22450,20345;22450;31753;31832
15027,CG_COUNTRY_EXCHAGE_STORAGE_ITEM,22451,20357;22451;31755
15028,CG_COUNTRY_GET_MISSION,22452,20599;22452;31743;31836
15029,CG_COUNTRY_ISSUE_MISSION,22453,20604;22453;31765;31838
15030,CG_COUNTRY_GET_ASSIGN_MISSION,22454,20369;22454;31747;31837
15031,CG_COUNTRY_GET_ASSIGN_PEOPLE,22455,20373;22455
15032,CG_COUNTRY_ASSIGN_MISSION,22456,21655;22456;31839
15033,CG_COUNTRY_GET_VALID_MISSION,22457,20361;22457;31745;31855
15034,CG_COUNTRY_MODIFY_NOTICE,22458,20341;22458;31739
15035,CG_COUNTRY_JOIN_NOTIFY,22459,22459;173594
15036,CG_COUNTRY_GET_ISSUE_MISSION,22460,20365;22460;31744;31843
15037,CG_COUNTRY_GET_MISSION_MAIN,22461,20595;22461;31746;31848
15038,CG_COUNTRY_GET_EXCHARGE_LIST,22462,20670;22462
15039,CG_COUNTRY_WAR_START,22463,20502;22463;173578
15040,CG_COUNTRY_WAR_UPDATE,22464,20514;22464;173582
15041,CG_COUNTRY_WAR_ARMY_LIST,22465,20530;22465;31762
15042,CG_COUNTRY_WAR_GOTO_CELL,22466,20526;22466;31760;31775
15043,CG_COUNTRY_WAR_NOTICE,22467,22467;173586
15044,CG_COUNTRY_WAR_COMMAND_LIST,22468,20534;22468
15045,CG_COUNTRY_WAR_COMMAND_USE,22469,20538;22469
15046,CG_COUNTRY_WAR_COUNTYR_LIST,22470,20498;22470
15047,CG_COUNTRY_WAR_CREATE,22471,20480;22471
15048,CG_COUNTRY_WAR_ANSWER,22472,20494;22472;31776
15049,CG_COUNTRY_WAR_BUILD_LIST,22473,20426;22473;31751;31779
15050,CG_COUNTRY_WAR_BUILD_UPDATE,22474,20430;22474;31752;31780
15051,CG_COUNTRY_WAR_ANSWER_GET_INFO,22475,20490;22475;31757;31778
15052,CG_COUNTRY_WAR_SEE_LIST,22476,20546;22476;31763;31777
15053,CG_COUNTRY_WAR_TEXT_LIST,22477,20542;22477;31761;31784
15054,CG_COUNTRY_WAR_TO_ARMY,22478,20410;22478;31749;31785
15055,CG_COUNTRY_WAR_TO_ARMY_LIST,22479,20418;22479
15056,CG_COUNTRY_WAR_TO_ARMY_ANSWER,22480,20422;22480;31786
15057,CG_COUNTRY_BUILD_CAMP,22481,20406;22481;31771;31787
15058,CG_COUNTRY_WAR_TO_FOREIGN,22482,20470;22482;31769;31788
15059,CG_COUNTRY_WAR_DELETE_ARMY,22483,20414;22483;31750;31789
15060,CG_COUNTRY_WAR_WIN_ACTION_INFO,22484,20506;22484;31758;31790
15061,CG_COUNTRY_WAR_WIN_ACTION_DO,22485,20510;22485;31791
15062,CG_COUNTRY_WAR_UNION_CREATE,22486,20434;22486;31748;31792
15063,CG_COUNTRY_WAR_UNION_LIST,22487,20438;22487
15064,CG_COUNTRY_WAR_UNION_MY,22488,20442;22488
15065,CG_COUNTRY_WAR_UNION_MEMBER_APPLY,22489,20465;22489
15066,CG_COUNTRY_WAR_UNION_MEMBER_APPLY_LIST,22490,20475;22490
15067,CG_COUNTRY_WAR_UNION_MEMBER_APPLY_DEAL,22491,20447;22491
15068,CG_COUNTRY_WAR_UNION_MEMBER_DELETE,22492,20453;22492;31767;31793
15069,CG_COUNTRY_WAR_UNION_MEMBER_EXIT,22493,20567;22493;31766;31794
15070,CG_COUNTRY_WAR_UNION_HEAD_CHANGE,22494,20459;22494;31768;31795
15071,CG_COUNTRY_WAR_TOP_PLAYER_LIST,22495,20692;22495
15072,CG_COUNTRY_WAR_TOP_COUNTRY_LIST,22496,20702;22496
15073,CG_COUNTRY_WAR_TOP_PEOPLE_COUNTRY_LIST,22497,20697;22497
15074,CG_COUNTRY_GET_VIP_ITEM,22498,22498
15075,CG_COUNTRY_GET_STORAGE_PET,22499,22499;176568
15076,CG_COUNTRY_GET_COMMAND_INFO_CREATE_WAR,22500,20687;22500
15077,CG_COUNTRY_SET_ONLINE_NOTIFY,22501,20610;22501;31742
15079,CG_COUNTRY_WAR_SOLDIER_RELIVE,22502,20518;22502;173602
15080,CG_COUNTRY_WAR_REDUCE_JOIN_CD,22503,20522;22503;173606
15501,CG_PET_CHANGE_NOTIFY,22504,22504;169461
15502,CG_PET_SEE,22505,19706;22505
15503,CG_SOLDIER_GROUP_LIST,22506,20149;22506;62355
15504,CG_SOLDIER_GROUP_INFO,22507,20167;22507;62385
15505,CG_SOLDIER_GROUP_BUY,22508,20155;22508;62477
15506,CG_SOLDIER_GROUP_MY_LIST_SLEEP,22509,20175;22509
15507,CG_SOLDIER_GROUP_MY_INFO,22510,20171;22510;62394
15508,CG_SOLDIER_STATE_SET,22511,20179;22511;62576
15509,CG_SOLDIER_STATE_NOTIFY,22512,22512;169507
15510,CG_SOLDIER_DELETE,22514,20183;22514;62603
15511,CG_PET_CHANGE_NAME,22515,20225;22515
15512,CG_PET_INFO,22516,19711;22516
15513,CG_SOLDIER_GROUP_MY_LIST_CHANGE_CAPTAIN,22517,22517
15514,CG_PET_INFO_BYID,22518,22518;36155
15515,CG_PET_EVOLVE,22519,22519
15516,CG_GET_SEAL_PET_SKILL,22520,22520;36208
15601,CG_LEGION_CHANGE_NOTIFY,22637,22637;79816
16001,CG_SYSTEM_HEART,22522,22522;116844;116863
16002,CG_SYSTEM_TEST_OPER,22524,21805;21809;22524;136307
16003,CG_SYSTE_TEST_SEND_SYSTEM_MAIL,22525,22525
16004,CG_SYSTEM_GET_ACTIVITY,22526,22526;108608
16005,CG_SYSTEM_GET_RAIDERS,22527,22527;78944
16006,CG_SYSTEM_SPECIALCODE,22528,20047;22528;31854
16007,CG_SYSTEM_BALLOT,22529,22529;31861;108705
16008,CG_SYSTEM_UPGRADE,22530,22530;92285
16009,CG_SYSTEM_GET_PET_RAIDERS,22531,22531;95509
16010,CG_SYSTEM_GET_MOUNT_RAIDERS,22532,22532;95596
16011,CG_SYSTEM_GET_VOCATION_RAIDERS,22533,22533
16012,CG_SYSTEM_ASK_VOCATION_RAIDERS,22534,22534
16013,CG_SYSTEM_VOCATION_RAIDERS_WORD,22535,22535
16014,CG_SYSTEM_GET_VOCATION_RAIDERS_WORD,22536,22536
16015,CG_SYSTEM_GET_RAIDERS_PLAYER,22537,22537
16016,CG_SYSTEM_GET_RAIDERS_PLAYER_PET,22538,22538
16017,CG_GET_TRADE_PLAT_SSO_URL,22135,22135
16018,CG_SYSTEM_GET_INVITE_CODE,22136,22136;31890
16019,CG_SYSTEM_REFRESH_MONEY1,22137,22137
16021,CG_SYSTEM_TIME,22523,22523;116843;116867
16022,CG_SYSTEM_SPECIALCODE_REWARD_INFO,22574,22574;191366;191844
16051,CG_HAND_BOOK_ITEM_INFO,22636,22636;186870
17001,CG_NEWBILL_LIST,22138,22138;146277
17002,CG_NEWBILL_BILL,22139,22139;146138
17006,CG_BILL_MO9,22143,22143
17009,CG_TENCENT_QUERY_BALANCE,22146,22146
17011,CG_HUAWEI_BILL_CHECK,22586,22586
17012,CG_VIVO_BILL_CHECK,22587,22587
17014,CG_CARD_BILL,22588,22588;191428;192296
17015,CG_DAILY_GIFT_PACK,22147,22147;148646;191391
17016,CG_RECHARGE_SUCCESS_PUSH,22140,22140;146072
17017,CG_RECHARGE_NORMAL_SIMPLE_INFO,22141,22141;146077;146232
17018,CG_RECHARGE_GROUP_BUY_SUBMIT,22142,22142;197131
17021,CG_RECHARGE_OPTIONAL_DRAW,22150,22150
17023,CG_FIRST_RECHARGE_GIFT,22126,22126;200756
17024,CG_BULK_BUY,22153,22153;201117
17025,CG_BATTLE_PASS_BUY,22154,22154;201553
17101,CG_DAILY_RECHARGE_ACT_LIST,22572,22572;191356;191639
17102,CG_DAILY_RECHARGE_BILL,22573,22573;148533;191361
17501,CG_GUESS_INFO,22575,22575;108958
17502,CG_GUESS_ENTER,22576,22576;109086
17503,CG_GUESS_FINISH,22577,22577;109199
17504,CG_PLUMBER_ENTER,22578,22578;109406
17505,CG_PLUMBER_FINISH,22579,22579;109600
17506,CG_LINKUP_ENTER,22580,22580
17507,CG_LINKUP_FINISH,22581,22581
17508,CG_FILP_ENTER,22582,22582
17509,CG_FILP_FINISH,22583,22583
17601,CG_HP_MP_PUSH,21978,19395;21978;141038
17604,CG_HKT_GM_MSG,22633,22633;141010
